ID Code,FIPS,U.S. Regional Title,Patents 2001,Patents 2002,Patents 2003,Patents 2004,Patents 2005,Average Patents,Population 2000,Population 2006,Average Population,,AVG. PATENT INTENSITY,LN PATENT INTENSITY,AVG. GDP/CAPITA,LN AVG. GDP/CAPITA
110180,10180,"Abilene, TX",5,6,4,10,2,5.4,126555,158548,142551.5,,3.78810465,1.331865802,32952.2,10.40281331
110420,10420,"Akron, OH",359,379,343,329,273,336.6,406934,700943,553938.5,,60.7648683,4.107011798,41069.8,10.62302834
110500,10500,"Albany, GA",6,10,7,2,4,5.8,129749,165062,147405.5,,3.934724281,1.369840811,30842,10.33663268
110580,10580,"Albany-Schenectady-Troy, NY",613,764,661,583,468,617.8,661645,850957,756301,,81.68705317,4.402895521,48688.6,10.7932002
110740,10740,"Albuquerque, NM",251,248,241,246,177,232.6,465161,815430,640295.5,,36.32697715,3.592560638,43618.4,10.68323436
110780,10780,"Alexandria, LA",7,4,3,7,3,4.8,591932,150827,371379.5,,1.292478449,0.256561653,33961.4,10.43297986
110900,10900,"Allentown-Bethlehem-Easton, PA-NJ",384,316,311,286,255,310.4,406934,800336,603635,,51.42180291,3.940062264,37951.8,10.54407221
111020,11020,"Altoona, PA",6,8,8,7,4,6.6,591932,126494,359213,,1.837349985,0.608324308,34238.2,10.44109726
111100,11100,"Amarillo, TX",16,10,12,6,6,10,148217,240981,194599,,5.138772553,1.636814248,39280.6,10.57848604
111180,11180,"Ames, IA",75,42,58,62,46,56.6,1251509,80145,665827,,8.50070664,2.140149294,49705.2,10.81386483
111260,11260,"Anchorage, AK",33,33,30,28,25,29.8,1025598,359180,692389,,4.303938971,1.459530643,69648.4,11.15121501
111300,11300,"Anderson, IN",22,24,26,26,27,25,333055,130575,231815,,10.78446175,2.378106371,173863.9461,12.06602835
111340,11340,"Anderson, SC",31,25,28,22,19,25,322549,177963,250256,,9.989770475,2.301561617,187694.4974,12.14257091
111460,11460,"Ann Arbor, MI",395,356,382,429,394,391.2,921106,344047,632576.5,,61.84232263,4.124587962,55283.4,10.92022796
111500,11500,"Anniston-Oxford, AL",3,3,4,7,6,4.6,132008,112903,122455.5,,3.756466635,1.323478791,31934.4,10.37143908
111540,11540,"Appleton, WI",175,187,197,199,145,180.6,5221801,217313,2719557,,6.640787452,1.893230549,44818.2,10.71036959
111700,11700,"Asheville, NC",63,70,53,56,60,60.4,876156,396192,636174,,9.49425786,2.25068718,33522.8,10.41998108
112020,12020,"Athens-Clarke County, GA",46,37,29,27,23,32.4,101541,190851,146196,,22.16202906,3.098380422,34550.2,10.45016862
112060,12060,"Atlanta-Sandy Springs-Marietta, GA",1097,1034,1083,1082,997,1058.6,4112198,5134871,4623534.5,,22.89590356,3.130958011,52463.8,10.86787869
112100,12100,"Atlantic City-Hammonton, NJ",9,18,16,20,7,14,1569541,271620,920580.5,,1.520779552,0.419223066,47768.8,10.77412799
112220,12220,"Auburn-Opelika, AL",16,27,19,18,18,19.6,115092,125781,120436.5,,16.27413616,2.789577109,27667.8,10.22802456
112260,12260,"Augusta-Richmond County, GA-SC",50,61,44,29,29,42.6,152307,523031,337669,,12.61590492,2.534958314,34087.8,10.43669483
112420,12420,"Austin-Round Rock-San Marcos, TX",1732,1653,1792,1733,1623,1706.6,217858,1506425,862141.5,,197.9489446,5.288009142,50582.2,10.83135501
112540,12540,"Bakersfield-Delano, CA",68,56,61,74,48,61.4,962441,780117,871279,,7.047111201,1.952617774,36876.6,10.51533248
112580,12580,"Baltimore-Towson, MD",685,669,650,602,523,625.8,661645,2658405,1660025,,37.69822744,3.629613076,55794,10.92942162
112620,12620,"Bangor, ME",8,7,10,10,8,8.6,371236,147180,259208,,3.317798833,1.199301561,34637.2,10.45268353
112700,12700,"Barnstable Town, MA",46,32,42,44,33,39.4,452851,224816,338833.5,,11.62813004,2.453427166,41720.6,10.63875029
112940,12940,"Baton Rouge, LA",147,103,115,85,73,104.6,311121,764824,537972.5,,19.44337303,2.967506294,51918,10.85742083
112980,12980,"Battle Creek, MI",26,19,20,19,22,21.2,1689572,137991,913781.5,,2.32002946,0.841579884,37706.8,10.53759573
113020,13020,"Bay City, MI",23,21,30,22,21,23.4,426526,108390,267458,,8.749037232,2.168943664,27443.4,10.21988098
