"Area Name-Legal/Statistical Area Description","Qualifying Name","Area (Land)","Area (Water)","Summary Level","Geographic Component","Region","Division","FIPS","Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area","Total Population 2000"
"Abilene, TX MSA","Abilene, TX MSA","2371459979","9391045","380","00",,,"0040","0040",126555
"Aguadilla, PR MSA","Aguadilla, PR MSA","305113105","138808893","380","00",,,"0060","0060",146424
"Albany, GA MSA","Albany, GA MSA","1775097456","29211693","380","00",,,"0120","0120",120822
"Albany--Schenectady--Troy, NY MSA","Albany--Schenectady--Troy, NY MSA","8345443765","172031486","380","00",,,"0160","0160",875583
"Albuquerque, NM MSA","Albuquerque, NM MSA","15392298114","21190272","380","00",,,"0200","0200",712738
"Alexandria, LA MSA","Alexandria, LA MSA","3425365854","102099480","380","00",,,"0220","0220",126337
"Allentown--Bethlehem--Easton, PA MSA","Allentown--Bethlehem--Easton, PA MSA","2852862211","29630685","380","00",,,"0240","0240",637958
"Altoona, PA MSA","Altoona, PA MSA","1361821674","3396553","380","00",,,"0280","0280",129144
"Amarillo, TX MSA","Amarillo, TX MSA","4723296989","53677556","380","00",,,"0320","0320",217858
"Anchorage, AK MSA","Anchorage, AK MSA","4395766279","683445939","380","00",,,"0380","0380",260283
"Anniston, AL MSA","Anniston, AL MSA","1575907564","9996496","380","00",,,"0450","0450",112249
"Appleton--Oshkosh--Neenah, WI MSA","Appleton--Oshkosh--Neenah, WI MSA","3622781701","573321519","380","00",,,"0460","0460",358365
"Asheville, NC MSA","Asheville, NC MSA","2862997578","15482216","380","00",,,"0480","0480",225965
"Athens, GA MSA","Athens, GA MSA","1529065946","6792329","380","00",,,"0500","0500",153444
"Atlanta, GA MSA","Atlanta, GA MSA","15860565980","217913585","380","00",,,"0520","0520",4112198
"Auburn--Opelika, AL MSA","Auburn--Opelika, AL MSA","1576552257","17723094","380","00",,,"0580","0580",115092
"Augusta--Aiken, GA--SC MSA","Augusta--Aiken, GA--SC MSA","6341276818","106549706","380","00",,,"0600","0600",477441
"Austin--San Marcos, TX MSA","Austin--San Marcos, TX MSA","10940160876","144830019","380","00",,,"0640","0640",1249763
"Bakersfield, CA MSA","Bakersfield, CA MSA","21085000353","52980904","380","00",,,"0680","0680",661645
"Bangor, ME MSA","Bangor, ME MSA","1029075969","77990372","380","00",,,"0730","0730",90864
"Barnstable--Yarmouth, MA MSA","Barnstable--Yarmouth, MA MSA","672911867","180860217","380","00",,,"0740","0740",162582
"Baton Rouge, LA MSA","Baton Rouge, LA MSA","4108192699","242700424","380","00",,,"0760","0760",602894
"Beaumont--Port Arthur, TX MSA","Beaumont--Port Arthur, TX MSA","5579564524","605763400","380","00",,,"0840","0840",385090
"Bellingham, WA MSA","Bellingham, WA MSA","5489566267","994607077","380","00",,,"0860","0860",166814
"Benton Harbor, MI MSA","Benton Harbor, MI MSA","1478882557","2616885082","380","00",,,"0870","0870",162453
"Billings, MT MSA","Billings, MT MSA","6825018002","35996187","380","00",,,"0880","0880",129352
"Biloxi--Gulfport--Pascagoula, MS MSA","Biloxi--Gulfport--Pascagoula, MS MSA","4622504599","2038890633","380","00",,,"0920","0920",363988
"Binghamton, NY MSA","Binghamton, NY MSA","3174068956","33297056","380","00",,,"0960","0960",252320
"Birmingham, AL MSA","Birmingham, AL MSA","8253356549","131843704","380","00",,,"1000","1000",921106
"Bismarck, ND MSA","Bismarck, ND MSA","9218690353","139752575","380","00",,,"1010","1010",94719
"Bloomington, IN MSA","Bloomington, IN MSA","1021351780","43955450","380","00",,,"1020","1020",120563
"Bloomington--Normal, IL MSA","Bloomington--Normal, IL MSA","3065321876","7143544","380","00",,,"1040","1040",150433
"Boise City, ID MSA","Boise City, ID MSA","4259777196","49541719","380","00",,,"1080","1080",432345
"Boston--Worcester--Lawrence, MA--NH--ME--CT CMSA","Boston--Worcester--Lawrence, MA--NH--ME--CT CMSA","14574171664","1464357800","380","00",,,"1122","1122",5819100
"Brownsville--Harlingen--San Benito, TX MSA","Brownsville--Harlingen--San Benito, TX MSA","2345898976","959791354","380","00",,,"1240","1240",335227
"Bryan--College Station, TX MSA","Bryan--College Station, TX MSA","1517162791","11689911","380","00",,,"1260","1260",152415
"Buffalo--Niagara Falls, NY MSA","Buffalo--Niagara Falls, NY MSA","4058920156","2070871051","380","00",,,"1280","1280",1170111
"Burlington, VT MSA","Burlington, VT MSA","1455701325","449287682","380","00",,,"1305","1305",169391
"Canton--Massillon, OH MSA","Canton--Massillon, OH MSA","2514384501","23588410","380","00",,,"1320","1320",406934
"Casper, WY MSA","Casper, WY MSA","13830230221","92810174","380","00",,,"1350","1350",66533
"Cedar Rapids, IA MSA","Cedar Rapids, IA MSA","1858167132","18398683","380","00",,,"1360","1360",191701
"Champaign--Urbana, IL MSA","Champaign--Urbana, IL MSA","2581715418","1881148","380","00",,,"1400","1400",179669
"Charleston--North Charleston, SC MSA","Charleston--North Charleston, SC MSA","6710539555","1481254765","380","00",,,"1440","1440",549033
"Charleston, WV MSA","Charleston, WV MSA","3235751214","31239171","380","00",,,"1480","1480",251662
"Charlotte--Gastonia--Rock Hill, NC--SC MSA","Charlotte--Gastonia--Rock Hill, NC--SC MSA","8745884482","166112689","380","00",,,"1520","1520",1499293
"Charlottesville, VA MSA","Charlottesville, VA MSA","3047946699","17602681","380","00",,,"1540","1540",159576
"Chattanooga, TN--GA MSA","Chattanooga, TN--GA MSA","4723054571","125127731","380","00",,,"1560","1560",465161
"Cheyenne, WY MSA","Cheyenne, WY MSA","6956841280","4080587","380","00",,,"1580","1580",81607
"Chicago--Gary--Kenosha, IL--IN--WI CMSA","Chicago--Gary--Kenosha, IL--IN--WI CMSA","17940956918","6135339677","380","00",,,"1602","1602",9157540
"Chico--Paradise, CA MSA","Chico--Paradise, CA MSA","4246255361","97428420","380","00",,,"1620","1620",203171
"Cincinnati--Hamilton, OH--KY--IN CMSA","Cincinnati--Hamilton, OH--KY--IN CMSA","9865260821","146697929","380","00",,,"1642","1642",1979202
"Clarksville--Hopkinsville, TN--KY MSA","Clarksville--Hopkinsville, TN--KY MSA","3264919027","18803008","380","00",,,"1660","1660",207033
"Cleveland--Akron, OH CMSA","Cleveland--Akron, OH CMSA","9354926207","6895907032","380","00",,,"1692","1692",2945831
"Colorado Springs, CO MSA","Colorado Springs, CO MSA","5507477052","8058755","380","00",,,"1720","1720",516929
"Columbia, MO MSA","Columbia, MO MSA","1775255762","15231715","380","00",,,"1740","1740",135454
"Columbia, SC MSA","Columbia, SC MSA","3770159751","191481415","380","00",,,"1760","1760",536691
"Columbus, GA--AL MSA","Columbus, GA--AL MSA","4066377435","58120072","380","00",,,"1800","1800",274624
"Columbus, OH MSA","Columbus, OH MSA","8135781481","72522188","380","00",,,"1840","1840",1540157
"Corpus Christi, TX MSA","Corpus Christi, TX MSA","3956123839","896168961","380","00",,,"1880","1880",380783
"Corvallis, OR MSA","Corvallis, OR MSA","1752026651","6499374","380","00",,,"1890","1890",78153
"Cumberland, MD--WV MSA","Cumberland, MD--WV MSA","1950656049","15011357","380","00",,,"1900","1900",102008
"Dallas--Fort Worth, TX CMSA","Dallas--Fort Worth, TX CMSA","23578693942","946683480","380","00",,,"1922","1922",5221801
"Danville, VA MSA","Danville, VA MSA","2625784063","21475953","380","00",,,"1950","1950",110156
"Davenport--Moline--Rock Island, IA--IL MSA","Davenport--Moline--Rock Island, IA--IL MSA","4423434914","95907175","380","00",,,"1960","1960",359062
"Dayton--Springfield, OH MSA","Dayton--Springfield, OH MSA","4360125017","25600315","380","00",,,"2000","2000",950558
"Daytona Beach, FL MSA","Daytona Beach, FL MSA","4113537281","1074721963","380","00",,,"2020","2020",493175
"Decatur, AL MSA","Decatur, AL MSA","3303777998","107560576","380","00",,,"2030","2030",145867
"Decatur, IL MSA","Decatur, IL MSA","1503546813","12575217","380","00",,,"2040","2040",114706
"Denver--Boulder--Greeley, CO CMSA","Denver--Boulder--Greeley, CO CMSA","22003341368","145763560","380","00",,,"2082","2082",2581506
"Des Moines, IA MSA","Des Moines, IA MSA","4474089018","76095703","380","00",,,"2120","2120",456022
"Detroit--Ann Arbor--Flint, MI CMSA","Detroit--Ann Arbor--Flint, MI CMSA","17003934530","1251177151","380","00",,,"2162","2162",5456428
"Dothan, AL MSA","Dothan, AL MSA","2956299087","7498167","380","00",,,"2180","2180",137916
