"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population"
"10140","31000US10140","Aberdeen, WA Micropolitan Statistical Area","Aberdeen, WA Micropolitan Statistical Area","us","310","00","ACSSF","0000174",,,,,,,,,,,,,,,,,,,"10140",,,,,,,,,,,,,,,,,,,,,,,,,,71587
"10180","31000US10180","Abilene, TX Metropolitan Statistical Area","Abilene, TX Metropolitan Statistical Area","us","310","00","ACSSF","0000175",,,,,,,,,,,,,,,,,,,"10180",,,,,,,,,,,,,,,,,,,,,,,,,,158548
"10300","31000US10300","Adrian, MI Micropolitan Statistical Area","Adrian, MI Micropolitan Statistical Area","us","310","00","ACSSF","0000176",,,,,,,,,,,,,,,,,,,"10300",,,,,,,,,,,,,,,,,,,,,,,,,,102191
"10380","31000US10380","Aguadilla-Isabela-San Sebastiﬂn, PR Metropolitan Statistical Area","Aguadilla-Isabela-San Sebastiﬂn, PR Metropolitan Statistical Area","pr","310","00","ACSSF","0000029",,,,,,,,,,,,,,,,,,,"10380",,,,,,,,,,,,,,,,,,,,,,,,,,336502
"10420","31000US10420","Akron, OH Metropolitan Statistical Area","Akron, OH Metropolitan Statistical Area","us","310","00","ACSSF","0000177",,,,,,,,,,,,,,,,,,,"10420",,,,,,,,,,,,,,,,,,,,,,,,,,700943
"10500","31000US10500","Albany, GA Metropolitan Statistical Area","Albany, GA Metropolitan Statistical Area","us","310","00","ACSSF","0000178",,,,,,,,,,,,,,,,,,,"10500",,,,,,,,,,,,,,,,,,,,,,,,,,165062
"10540","31000US10540","Albany-Lebanon, OR Micropolitan Statistical Area","Albany-Lebanon, OR Micropolitan Statistical Area","us","310","00","ACSSF","0000179",,,,,,,,,,,,,,,,,,,"10540",,,,,,,,,,,,,,,,,,,,,,,,,,111489
"10580","31000US10580","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","us","310","00","ACSSF","0000180",,,,,,,,,,,,,,,,,,,"10580",,,,,,,,,,,,,,,,,,,,,,,,,,850957
"10700","31000US10700","Albertville, AL Micropolitan Statistical Area","Albertville, AL Micropolitan Statistical Area","us","310","00","ACSSF","0000181",,,,,,,,,,,,,,,,,,,"10700",,,,,,,,,,,,,,,,,,,,,,,,,,87185
"10740","31000US10740","Albuquerque, NM Metropolitan Statistical Area","Albuquerque, NM Metropolitan Statistical Area","us","310","00","ACSSF","0000182",,,,,,,,,,,,,,,,,,,"10740",,,,,,,,,,,,,,,,,,,,,,,,,,815430
