,Unnamed: 0,Unnamed: 0.1,Index,ID Code,U.S. Regional Title,2001,2002,2003,2004,2005,Average
0,343,343,343,110180,"Abilene, TX",5.0,6.0,4.0,10.0,2.0,343
1,357,357,357,110380,"Aguadilla-Isabela-San Sebastián, PR",0.0,0.0,2.0,1.0,6.0,357
2,54,54,54,110420,"Akron, OH",359.0,379.0,343.0,329.0,273.0,54
3,340,340,340,110500,"Albany, GA",6.0,10.0,7.0,2.0,4.0,340
4,26,26,26,110580,"Albany-Schenectady-Troy, NY",613.0,764.0,661.0,583.0,468.0,26
5,64,64,64,110740,"Albuquerque, NM",251.0,248.0,241.0,246.0,177.0,64
6,327,327,327,110780,"Alexandria, LA",7.0,4.0,3.0,7.0,3.0,327
7,55,55,55,110900,"Allentown-Bethlehem-Easton, PA-NJ",384.0,316.0,311.0,286.0,255.0,55
8,325,325,325,111020,"Altoona, PA",6.0,8.0,8.0,7.0,4.0,325
9,257,257,257,111100,"Amarillo, TX",16.0,10.0,12.0,6.0,6.0,257
10,136,136,136,111180,"Ames, IA",75.0,42.0,58.0,62.0,46.0,136
11,203,203,203,111260,"Anchorage, AK",33.0,33.0,30.0,28.0,25.0,203
12,229,229,229,111300,"Anderson, IN",22.0,24.0,26.0,26.0,27.0,229
13,207,207,207,111340,"Anderson, SC",31.0,25.0,28.0,22.0,19.0,207
14,37,37,37,111460,"Ann Arbor, MI",395.0,356.0,382.0,429.0,394.0,37
15,333,333,333,111500,"Anniston-Oxford, AL",3.0,3.0,4.0,7.0,6.0,333
16,84,84,84,111540,"Appleton, WI",175.0,187.0,197.0,199.0,145.0,84
17,150,150,150,111700,"Asheville, NC",63.0,70.0,53.0,56.0,60.0,150
18,179,179,179,112020,"Athens-Clarke County, GA",46.0,37.0,29.0,27.0,23.0,179
19,19,19,19,112060,"Atlanta-Sandy Springs-Marietta, GA",1097.0,1034.0,1083.0,1082.0,997.0,19
20,244,244,244,112100,"Atlantic City-Hammonton, NJ",9.0,18.0,16.0,20.0,7.0,244
21,213,213,213,112220,"Auburn-Opelika, AL",16.0,27.0,19.0,18.0,18.0,213
22,165,165,165,112260,"Augusta-Richmond County, GA-SC",50.0,61.0,44.0,29.0,29.0,165
23,11,11,11,112420,"Austin-Round Rock-San Marcos, TX",1732.0,1653.0,1792.0,1733.0,1623.0,11
24,139,139,139,112540,"Bakersfield-Delano, CA",68.0,56.0,61.0,74.0,48.0,139
25,25,25,25,112580,"Baltimore-Towson, MD",685.0,669.0,650.0,602.0,523.0,25
26,290,290,290,112620,"Bangor, ME",8.0,7.0,10.0,10.0,8.0,290
27,170,170,170,112700,"Barnstable Town, MA",46.0,32.0,42.0,44.0,33.0,170
28,114,114,114,112940,"Baton Rouge, LA",147.0,103.0,115.0,85.0,73.0,114
29,221,221,221,112980,"Battle Creek, MI",26.0,19.0,20.0,19.0,22.0,221
30,212,212,212,113020,"Bay City, MI",23.0,21.0,30.0,22.0,21.0,212
31,222,222,222,113140,"Beaumont-Port Arthur, TX",29.0,14.0,23.0,14.0,13.0,222
32,181,181,181,113380,"Bellingham, WA",31.0,32.0,34.0,31.0,32.0,181
33,173,173,173,113460,"Bend, OR",31.0,24.0,21.0,29.0,44.0,173
34,300,300,300,113740,"Billings, MT",11.0,7.0,8.0,7.0,3.0,300
35,77,77,77,113780,"Binghamton, NY",237.0,206.0,215.0,185.0,152.0,77
36,117,117,117,113820,"Birmingham-Hoover, AL",94.0,98.0,109.0,91.0,82.0,117
37,284,284,284,113900,"Bismarck, ND",11.0,12.0,9.0,6.0,9.0,284
38,141,141,141,113980,"Blacksburg-Christiansburg-Radford, VA",36.0,55.0,58.0,65.0,69.0,141
39,174,174,174,114020,"Bloomington, IN",27.0,29.0,40.0,26.0,27.0,174
40,216,216,216,114060,"Bloomington-Normal, IL",13.0,22.0,32.0,13.0,23.0,216
41,16,16,16,114260,"Boise City-Nampa, ID",1576.0,1711.0,1662.0,1667.0,1421.0,16
42,4,4,4,114460,"Boston-Cambridge-Quincy, MA-NH",3133.0,3103.0,3465.0,3195.0,2768.0,4
43,32,32,32,114500,"Boulder, CO",470.0,489.0,486.0,547.0,427.0,32
44,273,273,273,114540,"Bowling Green, KY",12.0,10.0,9.0,4.0,12.0,273
45,51,51,51,114740,"Bremerton-Silverdale, WA",222.0,245.0,242.0,214.0,242.0,51
46,28,28,28,114860,"Bridgeport-Stamford-Norwalk, CT",628.0,594.0,576.0,562.0,533.0,28
47,334,334,334,115180,"Brownsville-Harlingen, TX",6.0,6.0,5.0,4.0,3.0,334
48,335,335,335,115260,"Brunswick, GA",6.0,3.0,8.0,7.0,1.0,335
49,59,59,59,115380,"Buffalo-Niagara Falls, NY",354.0,333.0,361.0,324.0,218.0,59
50,245,245,245,115500,"Burlington, NC",26.0,19.0,18.0,15.0,15.0,245
51,41,41,41,115540,"Burlington-South Burlington, VT",365.0,413.0,359.0,322.0,303.0,41
52,91,91,91,115940,"Canton-Massillon, OH",110.0,140.0,136.0,117.0,105.0,91
53,168,168,168,115980,"Cape Coral-Fort Myers, FL",49.0,39.0,46.0,50.0,39.0,168
54,330,330,330,116020,"Cape Girardeau-Jackson, MO-IL",6.0,2.0,7.0,5.0,4.0,330
55,313,313,313,116180,"Carson City, NV",7.0,9.0,9.0,6.0,7.0,313
56,360,360,360,116220,"Casper, WY",2.0,4.0,4.0,3.0,4.0,360
57,97,97,97,116300,"Cedar Rapids, IA",104.0,129.0,121.0,103.0,82.0,97
58,112,112,112,116580,"Champaign-Urbana, IL",57.0,57.0,67.0,95.0,58.0,112
59,194,194,194,116620,"Charleston, WV",49.0,44.0,34.0,19.0,28.0,194
60,137,137,137,116700,"Charleston-North Charleston-Summerville, SC",65.0,93.0,63.0,71.0,52.0,137
61,63,63,63,116740,"Charlotte-Gastonia-Rock Hill, NC-SC",261.0,245.0,216.0,185.0,171.0,63
62,134,134,134,116820,"Charlottesville, VA",70.0,50.0,65.0,50.0,38.0,134
63,161,161,161,116860,"Chattanooga, TN-GA",71.0,53.0,44.0,53.0,43.0,161
64,346,346,346,116940,"Cheyenne, WY",4.0,7.0,3.0,5.0,3.0,346
65,5,5,5,116980,"Chicago-Joliet-Naperville, IL-IN-WI",2981.0,2772.0,2616.0,2562.0,2246.0,5
66,271,271,271,117020,"Chico, CA",13.0,16.0,6.0,8.0,7.0,271
67,22,22,22,117140,"Cincinnati-Middletown, OH-KY-IN",928.0,1004.0,956.0,788.0,627.0,22
68,291,291,291,117300,"Clarksville, TN-KY",10.0,16.0,10.0,8.0,8.0,291
69,292,292,292,117420,"Cleveland, TN",10.0,16.0,11.0,16.0,14.0,292
70,23,23,23,117460,"Cleveland-Elyria-Mentor, OH",781.0,737.0,699.0,647.0,555.0,23
71,260,260,260,117660,"Coeur d'Alene, ID",15.0,9.0,14.0,13.0,13.0,260
72,159,159,159,117780,"College Station-Bryan, TX",46.0,63.0,51.0,46.0,37.0,159
73,61,61,61,117820,"Colorado Springs, CO",278.0,264.0,309.0,281.0,252.0,61
74,196,196,196,117860,"Columbia, MO",32.0,27.0,30.0,24.0,19.0,196
75,135,135,135,117900,"Columbia, SC",76.0,58.0,63.0,67.0,48.0,135
76,282,282,282,117980,"Columbus, GA-AL",6.0,12.0,14.0,21.0,10.0,282
77,163,163,163,118020,"Columbus, IN",51.0,47.0,52.0,42.0,39.0,163
78,50,50,50,118140,"Columbus, OH",361.0,355.0,345.0,386.0,256.0,50
79,217,217,217,118580,"Corpus Christi, TX",31.0,23.0,21.0,22.0,17.0,217
80,62,62,62,118700,"Corvallis, OR",155.0,198.0,211.0,247.0,259.0,62
81,247,247,247,118880,"Crestview-Fort Walton Beach-Destin, FL",30.0,27.0,16.0,13.0,9.0,247
82,352,352,352,119060,"Cumberland, MD-WV",7.0,4.0,0.0,2.0,4.0,352
83,10,10,10,119100,"Dallas-Fort Worth-Arlington, TX",2130.0,1926.0,1884.0,1959.0,1685.0,10
