,Total Population 2000,Area Name-Legal/Statistical Area Description,Unnamed: 0,Unnamed: 0.1,Index,ID Code,U.S. Regional Title,2001,2002,2003,2004,2005,Average
0,131237.535,"Abilene, TX",343,343,343,110180,"Abilene, TX",5.0,6.0,4.0,10.0,2.0,343
1,125292.414,"Albany, GA",340,340,340,110500,"Albany, GA",6.0,10.0,7.0,2.0,4.0,340
2,739109.306,"Albuquerque, NM",64,64,64,110740,"Albuquerque, NM",251.0,248.0,241.0,246.0,177.0,64
3,131011.469,"Alexandria, LA",327,327,327,110780,"Alexandria, LA",7.0,4.0,3.0,7.0,3.0,327
4,133922.328,"Altoona, PA",325,325,325,111020,"Altoona, PA",6.0,8.0,8.0,7.0,4.0,325
5,225918.74599999998,"Amarillo, TX",257,257,257,111100,"Amarillo, TX",16.0,10.0,12.0,6.0,6.0,257
6,269913.471,"Anchorage, AK",203,203,203,111260,"Anchorage, AK",33.0,33.0,30.0,28.0,25.0,203
7,234325.705,"Asheville, NC",150,150,150,111700,"Asheville, NC",63.0,70.0,53.0,56.0,60.0,150
8,94225.968,"Bangor, ME",290,290,290,112620,"Bangor, ME",8.0,7.0,10.0,10.0,8.0,290
9,625201.078,"Baton Rouge, LA",114,114,114,112940,"Baton Rouge, LA",147.0,103.0,115.0,85.0,73.0,114
10,172986.118,"Bellingham, WA",181,181,181,113380,"Bellingham, WA",31.0,32.0,34.0,31.0,32.0,181
11,134138.024,"Billings, MT",300,300,300,113740,"Billings, MT",11.0,7.0,8.0,7.0,3.0,300
12,261655.84,"Binghamton, NY",77,77,77,113780,"Binghamton, NY",237.0,206.0,215.0,185.0,152.0,77
13,98223.603,"Bismarck, ND",284,284,284,113900,"Bismarck, ND",11.0,12.0,9.0,6.0,9.0,284
14,125023.831,"Bloomington, IN",174,174,174,114020,"Bloomington, IN",27.0,29.0,40.0,26.0,27.0,174
15,68994.721,"Casper, WY",360,360,360,116220,"Casper, WY",2.0,4.0,4.0,3.0,4.0,360
16,198793.937,"Cedar Rapids, IA",97,97,97,116300,"Cedar Rapids, IA",104.0,129.0,121.0,103.0,82.0,97
17,260973.494,"Charleston, WV",194,194,194,116620,"Charleston, WV",49.0,44.0,34.0,19.0,28.0,194
18,165480.312,"Charlottesville, VA",134,134,134,116820,"Charlottesville, VA",70.0,50.0,65.0,50.0,38.0,134
19,84626.459,"Cheyenne, WY",346,346,346,116940,"Cheyenne, WY",4.0,7.0,3.0,5.0,3.0,346
20,536055.373,"Colorado Springs, CO",61,61,61,117820,"Colorado Springs, CO",278.0,264.0,309.0,281.0,252.0,61
21,140465.798,"Columbia, MO",196,196,196,117860,"Columbia, MO",32.0,27.0,30.0,24.0,19.0,196
22,556548.567,"Columbia, SC",135,135,135,117900,"Columbia, SC",76.0,58.0,63.0,67.0,48.0,135
23,1597142.809,"Columbus, OH",50,50,50,118140,"Columbus, OH",361.0,355.0,345.0,386.0,256.0,50
24,394871.971,"Corpus Christi, TX",217,217,217,118580,"Corpus Christi, TX",31.0,23.0,21.0,22.0,17.0,217
25,81044.661,"Corvallis, OR",62,62,62,118700,"Corvallis, OR",155.0,198.0,211.0,247.0,259.0,62
26,114231.772,"Danville, VA",354,354,354,119260,"Danville, VA",4.0,7.0,3.0,3.0,3.0,354
27,151264.079,"Decatur, AL",270,270,270,119460,"Decatur, AL",12.0,15.0,11.0,13.0,5.0,270
28,118950.122,"Decatur, IL",234,234,234,119500,"Decatur, IL",17.0,22.0,22.0,18.0,17.0,234
29,143018.892,"Dothan, AL",337,337,337,120020,"Dothan, AL",9.0,5.0,4.0,6.0,4.0,337
30,131384.789,"Dover, DE",294,294,294,120100,"Dover, DE",8.0,9.0,11.0,7.0,6.0,294
31,92441.291,"Dubuque, IA",231,231,231,120220,"Dubuque, IA",28.0,18.0,14.0,8.0,16.0,231
32,153825.469,"Eau Claire, WI",187,187,187,120740,"Eau Claire, WI",34.0,29.0,32.0,45.0,40.0,187
33,704768.014,"El Paso, TX",184,184,184,121340,"El Paso, TX",32.0,46.0,45.0,51.0,36.0,184
34,94439.59,"Elmira, NY",145,145,145,121300,"Elmira, NY",78.0,76.0,84.0,75.0,51.0,145
35,291234.191,"Erie, PA",124,124,124,121500,"Erie, PA",97.0,86.0,73.0,60.0,64.0,124
36,314172.631,"Fayetteville, NC",287,287,287,122180,"Fayetteville, NC",10.0,4.0,8.0,15.0,14.0,287
37,130414.157,"Florence, SC",188,188,188,122500,"Florence, SC",30.0,34.0,27.0,37.0,26.0,188
38,520720.217,"Fort Wayne, IN",93,93,93,123060,"Fort Wayne, IN",144.0,180.0,142.0,148.0,101.0,93
39,956649.092,"Fresno, CA",171,171,171,123420,"Fresno, CA",40.0,44.0,36.0,40.0,39.0,171
