,Class,Class Title,Total
0,424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",3326
1,435,Chemistry: Molecular Biology and Microbiology,2143
2,370,Multiplex Communications,1397
3,709,Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems),1136
4,128,Surgery (includes Class 600),1089
5,250,Radiant Energy,1004
6,707,DP: Database and File Management or Data Structures (Data Processing),994
7,606,Surgery (instruments),871
8,532,Organic Compounds (includes Classes 532-570),847
9,382,Image Analysis,631
