Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",136,172,171,154,139,96,114,105,117,103,169,188,1663
455,"Telecommunications",39,52,46,44,81,80,150,107,108,126,178,279,1288
128,"Surgery (includes Class 600)",110,93,104,114,99,82,97,88,113,107,117,146,1270
375,"Pulse or Digital Communications",38,45,61,34,67,52,107,114,116,117,115,117,982
607,"Surgery: Light, Thermal, and Electrical Application",42,52,69,75,73,67,94,87,52,79,119,137,946
606,"Surgery (instruments)",111,106,67,100,69,62,66,63,45,53,92,107,940
435,"Chemistry: Molecular Biology and Microbiology",61,83,64,70,65,69,75,73,48,68,98,98,872
604,"Surgery (Medicators and Receptors)",63,88,64,106,51,55,58,41,48,62,112,112,859
439,"Electrical Connectors",77,61,64,76,95,81,58,55,68,64,70,54,823
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",32,43,65,84,88,75,67,65,60,67,92,80,816
370,"Multiplex Communications",30,33,38,28,47,54,66,58,76,94,159,128,808
340,"Communications:  Electrical",59,39,33,39,45,58,89,65,63,53,70,69,681
362,"Illumination",43,53,50,55,48,47,79,45,53,55,63,74,663
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",27,16,23,19,33,32,56,68,47,80,109,119,627
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",20,13,14,10,12,33,51,31,52,86,147,126,594
385,"Optical Waveguides",24,51,38,82,64,75,68,48,56,39,26,19,590
707,"DP: Database and File Management or Data Structures (Data Processing)",19,15,35,33,34,31,57,34,37,63,110,106,574
359,"Optical: Systems and Elements",56,70,55,47,41,47,50,38,48,41,54,25,570
244,"Aeronautics and Astronautics",77,61,50,59,48,49,37,36,22,30,34,52,555
348,"Television",27,18,27,29,40,31,61,45,52,46,82,83,540
438,"Semiconductor Device Manufacturing: Process",28,36,43,55,50,56,45,44,38,49,42,53,535
250,"Radiant Energy",36,39,36,46,40,50,50,52,40,49,51,35,523
382,"Image Analysis",32,22,22,27,35,27,43,39,46,56,77,49,474
073,"Measuring and Testing",42,36,43,43,34,55,42,46,51,33,24,19,465
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",38,41,50,49,48,34,36,19,32,20,41,53,461
361,"Electricity:  Electrical Systems and Devices",32,40,50,46,36,35,35,30,34,33,54,31,456
714,"Error Detection/Correction and Fault Detection/Recovery",14,27,26,25,35,21,59,41,57,44,51,54,454
343,"Communications:  Radio Wave Antennas",29,44,60,43,24,36,48,22,28,33,39,47,452
280,"Land Vehicles",55,40,38,37,31,47,39,20,28,26,38,33,431
532,"Organic Compounds (includes Classes 532-570)",37,40,35,32,32,25,29,29,39,42,34,35,408
356,"Optics:  Measuring and Testing",32,22,36,46,35,30,38,34,40,26,32,35,406
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",26,47,34,32,26,26,32,31,25,32,47,48,405
473,"Games Using Tangible Projectile",27,32,43,32,35,19,33,30,34,24,46,38,392
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",36,28,34,27,31,22,40,29,25,37,30,52,389
341,"Coded Data Generation or Conversion",14,35,29,25,53,46,46,29,34,31,25,22,387
428,"Stock Material or Miscellaneous Articles",45,36,43,36,38,27,33,25,19,23,32,27,384
330,"Amplifiers",19,12,27,29,37,32,51,45,32,40,30,30,383
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",18,28,27,32,41,48,48,38,27,24,24,27,380
345,"Computer Graphics Processing and Selective Visual Display Systems",19,27,18,15,30,20,36,36,34,27,47,56,364
446,"Amusement Devices:  Toys",41,32,31,40,26,21,21,17,15,29,41,37,350
482,"Exercise Devices",21,26,21,20,26,24,32,26,23,36,49,38,342
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",15,11,22,33,33,38,32,26,25,32,34,35,336
248,"Supports (e.g., for holding articles, etc.)",35,29,36,49,17,23,18,21,24,23,35,23,333
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",35,33,36,37,21,27,18,30,19,19,28,24,326
029,"Metal Working",28,26,39,16,31,22,28,22,21,23,32,31,319
206,"Special Receptacle or Package",37,24,32,29,25,23,24,25,27,17,28,28,319
360,"Dynamic Magnetic Information Storage or Retrieval",18,12,22,28,41,30,44,20,24,25,22,32,318
137,"Fluid Handling",24,30,24,28,22,32,31,20,17,23,33,14,298
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",32,27,34,28,33,23,21,22,12,17,22,25,295
710,"Input/Output (Electrical Computers and Digital Processing Systems)",16,9,20,20,28,25,26,18,19,20,42,42,285
713,"Support (Electrical Computers and Digital Processing Systems)",7,14,18,17,13,24,28,29,30,30,35,39,283
210,"Liquid Purification or Separation",30,33,20,17,24,17,23,24,17,22,24,20,271
002,"Apparel",40,26,33,18,23,20,24,16,17,9,19,22,266
060,"Power Plants",16,28,26,26,38,28,28,14,10,17,18,18,266
324,"Electricity:  Measuring and Testing",17,23,27,24,22,18,19,20,24,25,25,20,263
358,"Facsimile and Static Presentation Processing",16,26,14,22,12,11,24,25,20,31,34,27,262
052,"Static Structures (e.g., Buildings)",36,31,21,32,28,19,11,10,9,17,22,22,258
726,"Information Security",4,1,3,1,9,6,15,18,28,49,56,65,255
372,"Coherent Light Generators",14,13,17,25,41,13,24,18,14,29,19,27,252
379,"Telephonic Communications",25,14,34,24,28,17,20,20,13,21,19,10,245
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",9,18,11,27,16,18,24,20,31,14,26,31,245
704,"DP: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression (Data Processing)",8,15,17,19,17,18,34,21,21,23,22,30,245
315,"Electric Lamp and Discharge Devices:  Systems",17,15,15,21,10,20,27,26,25,15,17,35,242
318,"Electricity:  Motive Power Systems",20,20,11,19,15,17,20,18,15,18,33,35,240
365,"Static Information Storage and Retrieval",13,5,9,11,33,42,20,24,17,17,24,24,239
084,"Music",21,24,19,17,15,12,18,17,20,24,23,22,231
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",16,12,23,6,12,17,20,17,20,20,35,31,228
005,"Beds",22,16,18,38,27,18,19,16,14,8,16,15,227
062,"Refrigeration",17,19,26,27,12,19,24,23,16,12,14,18,227
433,"Dentistry",19,29,15,17,19,25,32,24,12,5,12,17,226
711,"Memory (Electrical Computers and Digital Processing Systems)",9,9,7,15,17,19,37,13,18,16,32,34,225
333,"Wave Transmission Lines and Networks",25,17,21,15,16,26,14,21,25,12,18,14,221
222,"Dispensing (apparatus and process)",32,24,26,24,19,18,27,14,7,5,18,6,218
220,"Receptacles",16,21,28,23,11,9,23,11,8,16,23,27,216
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",13,19,4,12,10,14,15,20,29,16,27,34,212
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",24,32,32,26,13,12,11,10,5,14,13,16,208
297,"Chairs and Seats",33,13,18,24,26,10,15,13,16,15,9,15,207
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",39,23,13,28,9,12,15,9,10,7,21,21,206
725,"Interactive Video Distribution Systems",13,15,6,11,14,9,15,12,2,23,33,52,205
351,"Optics:  Eye Examining, Vision Testing and Correcting",18,8,11,21,17,17,16,17,20,19,15,23,202
381,"Electrical Audio Signal Processing Systems and Devices",12,14,9,16,20,14,19,14,16,19,18,28,198
296,"Land Vehicles:  Bodies and Tops",16,22,17,16,12,11,15,22,19,18,18,10,195
331,"Oscillators",12,14,9,17,19,17,26,17,14,16,17,17,195
