,Class,Class Title,Total
0,424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",5212
1,370,Multiplex Communications,3138
2,705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",1848
3,455,Telecommunications,1589
4,435,Chemistry: Molecular Biology and Microbiology,1509
5,532,Organic Compounds (includes Classes 532-570),1473
6,375,Pulse or Digital Communications,1416
7,709,Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems),1323
8,438,Semiconductor Device Manufacturing: Process,1295
9,707,DP: Database and File Management or Data Structures (Data Processing),1139
