,Class,Class Title,Total
0,438,Semiconductor Device Manufacturing: Process,5418
1,370,Multiplex Communications,4785
2,257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",3695
3,365,Static Information Storage and Retrieval,3466
4,709,Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems),3420
5,707,DP: Database and File Management or Data Structures (Data Processing),3219
6,360,Dynamic Magnetic Information Storage or Retrieval,2789
7,711,Memory (Electrical Computers and Digital Processing Systems),2578
8,345,Computer Graphics Processing and Selective Visual Display Systems,2416
9,714,Error Detection/Correction and Fault Detection/Recovery,2221
