New York


   Class                                        Class Title  Total
0    424  Drug, Bio-Affecting and Body Treating Composit...   5212
1    370                           Multiplex Communications   3138
2    705  DP: Financial, Business Practice, Management, ...   1848
3    455                                 Telecommunications   1589
4    435      Chemistry: Molecular Biology and Microbiology   1509
5    532       Organic Compounds (includes Classes 532-570)   1473
6    375                    Pulse or Digital Communications   1416
7    709  Multicomputer Data Transferring (Electrical Co...   1323
8    438        Semiconductor Device Manufacturing: Process   1295
9    707  DP: Database and File Management or Data Struc...   1139



San Jose


   Class                                        Class Title  Total
0    438        Semiconductor Device Manufacturing: Process   5418
1    370                           Multiplex Communications   4785
2    257  Active Solid-State Devices (e.g., Transistors,...   3695
3    365           Static Information Storage and Retrieval   3466
4    709  Multicomputer Data Transferring (Electrical Co...   3420
5    707  DP: Database and File Management or Data Struc...   3219
6    360  Dynamic Magnetic Information Storage or Retrieval   2789
7    711  Memory (Electrical Computers and Digital Proce...   2578
8    345  Computer Graphics Processing and Selective Vis...   2416
9    714  Error Detection/Correction and Fault Detection...   2221



LA


   Class                                        Class Title  Total
0    424  Drug, Bio-Affecting and Body Treating Composit...   1663
1    455                                 Telecommunications   1288
2    128                       Surgery (includes Class 600)   1270
3    375                    Pulse or Digital Communications    982
4    607  Surgery: Light, Thermal, and Electrical Applic...    946
5    606                              Surgery (instruments)    940
6    435      Chemistry: Molecular Biology and Microbiology    872
7    604                 Surgery (Medicators and Receptors)    859
8    439                              Electrical Connectors    823
9    257  Active Solid-State Devices (e.g., Transistors,...    816



Boston


   Class                                        Class Title  Total
0    424  Drug, Bio-Affecting and Body Treating Composit...   3326
1    435      Chemistry: Molecular Biology and Microbiology   2143
2    370                           Multiplex Communications   1397
3    709  Multicomputer Data Transferring (Electrical Co...   1136
4    128                       Surgery (includes Class 600)   1089
5    250                                     Radiant Energy   1004
6    707  DP: Database and File Management or Data Struc...    994
7    606                              Surgery (instruments)    871
8    532       Organic Compounds (includes Classes 532-570)    847
9    382                                     Image Analysis    631
