Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
435,"Chemistry: Molecular Biology and Microbiology",6,7,8,6,2,4,10,9,4,3,9,8,76
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",4,5,4,3,5,7,7,4,3,2,9,10,63
123,"Internal-Combustion Engines",1,7,5,5,13,13,5,4,1,1,0,0,55
474,"Endless Belt Power Transmission Systems or Components",10,8,5,8,2,2,5,3,1,2,4,4,54
438,"Semiconductor Device Manufacturing: Process",1,3,3,2,9,2,5,3,4,3,3,5,43
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",2,1,1,10,1,2,7,3,3,7,3,2,42
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",2,3,1,3,3,0,4,2,3,1,6,5,33
210,"Liquid Purification or Separation",5,5,6,5,6,2,0,1,0,2,0,0,32
073,"Measuring and Testing",3,1,0,1,3,3,3,4,5,1,2,2,28
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",1,1,2,4,5,2,4,3,0,2,1,3,28
250,"Radiant Energy",1,0,2,4,5,3,2,1,0,0,3,1,22
532,"Organic Compounds (includes Classes 532-570)",2,3,2,0,1,1,0,2,1,2,4,4,22
385,"Optical Waveguides",0,0,4,1,0,1,4,4,1,2,1,2,20
128,"Surgery (includes Class 600)",5,1,1,2,2,1,2,1,0,1,2,1,19
400,"Typewriting Machines",7,3,0,0,2,2,0,1,0,3,0,1,19
370,"Multiplex Communications",2,2,1,0,1,1,1,0,1,2,3,3,17
382,"Image Analysis",0,4,1,0,0,0,0,2,1,1,4,2,15
216,"Etching a Substrate:  Processes",2,1,3,0,5,2,0,1,0,0,0,0,14
345,"Computer Graphics Processing and Selective Visual Display Systems",2,1,1,2,2,2,3,0,0,0,0,1,14
428,"Stock Material or Miscellaneous Articles",2,2,0,2,1,0,1,1,0,3,1,1,14
361,"Electricity:  Electrical Systems and Devices",1,0,1,0,1,1,1,2,1,0,2,3,13
375,"Pulse or Digital Communications",1,0,1,1,1,2,4,2,1,0,0,0,13
707,"DP: Database and File Management or Data Structures (Data Processing)",1,0,1,0,1,0,1,0,3,2,1,3,13
426,"Food or Edible Material:  Processes, Compositions, and Products",1,0,4,2,1,0,1,1,0,0,1,0,11
427,"Coating Processes",0,3,0,1,1,1,0,0,1,1,3,0,11
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",7,0,0,0,0,1,0,0,0,1,0,1,10
359,"Optical: Systems and Elements",0,2,0,2,3,0,1,0,0,1,1,0,10
372,"Coherent Light Generators",0,0,0,0,2,0,0,2,0,2,3,1,10
439,"Electrical Connectors",0,2,0,2,3,0,2,0,0,0,0,1,10
347,"Incremental Printing of Symbolic Information",2,0,3,0,2,0,2,0,0,0,0,0,9
358,"Facsimile and Static Presentation Processing",1,0,1,1,1,1,1,0,2,0,0,1,9
365,"Static Information Storage and Retrieval",1,0,0,1,2,1,0,1,0,2,0,1,9
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",0,0,0,1,1,1,0,1,0,0,3,2,9
119,"Animal Husbandry",0,1,0,1,2,0,3,0,0,0,0,1,8
175,"Boring or Penetrating the Earth",0,1,0,1,2,0,0,1,0,2,0,0,7
241,"Solid Material Comminution or Disintegration",0,0,0,0,0,0,1,3,1,1,1,0,7
310,"Electrical Generator or Motor Structure",0,0,0,1,1,0,1,1,0,0,2,1,7
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",0,0,0,1,0,0,1,1,0,0,1,3,7
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",0,0,0,0,1,0,0,0,2,3,1,0,7
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",0,0,2,0,1,0,0,0,3,0,1,0,7
726,"Information Security",0,0,0,0,0,0,0,1,1,2,2,1,7
324,"Electricity:  Measuring and Testing",0,0,1,1,0,0,1,0,1,1,0,1,6
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",0,0,0,2,0,0,1,1,1,1,0,0,6
356,"Optics:  Measuring and Testing",1,1,0,1,0,2,0,0,0,0,1,0,6
378,"X-Ray or Gamma Ray Systems or Devices",0,0,0,0,1,1,0,2,0,1,1,0,6
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",0,1,0,0,0,1,0,0,1,0,1,2,6
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",0,0,0,2,0,1,0,1,0,1,1,0,6
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",0,0,0,0,1,2,0,0,2,0,0,1,6
703,"DP: Structural Design, Modeling, Simulation, and Emulation (Data Processing)",0,0,0,1,0,0,2,2,0,1,0,0,6
065,"Glass Manufacturing",0,0,1,0,0,0,0,0,2,0,1,1,5
204,"Chemistry:  Electrical and Wave Energy",0,0,0,1,0,0,0,0,2,0,1,1,5
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",0,0,0,0,0,0,0,1,0,0,1,3,5
320,"Electricity:  Battery or Capacitor Charging or Discharging",0,0,0,0,0,0,0,0,0,0,5,0,5
326,"Electronic Digital Logic Circuitry",0,0,0,0,0,0,1,0,0,1,1,2,5
455,"Telecommunications",1,0,0,0,0,0,0,0,0,1,0,3,5
473,"Games Using Tangible Projectile",0,0,0,0,0,0,0,0,0,1,1,3,5
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",0,0,0,0,1,1,0,0,1,1,0,1,5
710,"Input/Output (Electrical Computers and Digital Processing Systems)",0,0,0,1,1,0,0,0,0,2,1,0,5
712,"Processing Architectures and Instruction Processing, e.g., Processors (Electrical Computers and Digital Processing Systems)",1,1,0,0,0,0,1,0,0,0,2,0,5
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",1,1,0,0,0,0,0,1,0,1,0,1,5
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",0,0,0,1,0,0,0,0,0,2,2,0,5
104,"Railways",0,1,2,1,0,0,0,0,0,0,0,0,4
244,"Aeronautics and Astronautics",2,0,0,0,0,0,0,0,1,0,0,1,4
315,"Electric Lamp and Discharge Devices:  Systems",1,0,0,1,0,0,1,0,0,0,0,1,4
318,"Electricity:  Motive Power Systems",0,0,0,1,0,2,0,0,1,0,0,0,4
333,"Wave Transmission Lines and Networks",0,0,0,0,0,0,0,0,1,1,1,1,4
348,"Television",0,1,0,1,0,0,0,1,1,0,0,0,4
353,"Optics:  Image Projectors",0,0,0,2,1,1,0,0,0,0,0,0,4
607,"Surgery: Light, Thermal, and Electrical Application",0,1,2,0,0,0,0,0,0,0,1,0,4
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",0,0,0,0,0,0,0,1,0,0,3,0,4
714,"Error Detection/Correction and Fault Detection/Recovery",0,0,0,0,0,1,1,0,1,1,0,0,4
717,"DP: Software Development, Installation, and Management (Data Processing)",0,0,1,0,0,0,0,0,1,1,1,0,4
002,"Apparel",1,0,0,0,0,1,1,0,0,0,0,0,3
029,"Metal Working",0,0,2,0,0,0,0,0,0,0,0,1,3
040,"Card, Picture, or Sign Exhibiting",0,0,0,0,0,0,0,0,0,0,1,2,3
099,"Foods and Beverages: Apparatus",0,0,0,0,1,0,0,0,0,0,1,1,3
117,"Single-Crystal, Oriented-Crystal, and Epitaxy Growth Processes; Non-Coating Apparatus Therefor",0,0,1,0,0,0,0,0,0,0,1,1,3
174,"Electricity:  Conductors and Insulators",0,0,0,0,0,0,0,1,1,0,0,1,3
177,"Weighing Scales",1,0,0,1,0,0,0,1,0,0,0,0,3
222,"Dispensing (apparatus and process)",0,0,1,0,0,0,0,0,0,1,0,1,3
349,"Liquid Crystal Cells, Elements and Systems",0,0,1,2,0,0,0,0,0,0,0,0,3
423,"Chemistry of Inorganic Compounds",0,0,0,0,0,0,0,1,1,1,0,0,3
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",0,0,0,0,0,0,0,0,0,0,0,3,3
711,"Memory (Electrical Computers and Digital Processing Systems)",0,1,1,0,0,0,0,0,0,0,1,0,3
713,"Support (Electrical Computers and Digital Processing Systems)",0,0,0,0,0,0,0,0,0,0,1,2,3
034,"Drying and Gas or Vapor Contact with Solids",1,0,0,0,0,1,0,0,0,0,0,0,2
083,"Cutting",0,1,0,1,0,0,0,0,0,0,0,0,2
118,"Coating Apparatus",1,1,0,0,0,0,0,0,0,0,0,0,2
137,"Fluid Handling",0,1,0,0,0,0,0,0,0,0,1,0,2
148,"Metal Treatment",0,1,1,0,0,0,0,0,0,0,0,0,2
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",0,0,0,0,0,0,0,1,1,0,0,0,2
164,"Metal Founding",0,0,0,0,0,0,1,1,0,0,0,0,2
198,"Conveyors:  Power-Driven",0,0,0,0,1,1,0,0,0,0,0,0,2
209,"Classifying, Separating, and Assorting Solids",0,0,0,0,0,0,1,0,0,0,1,0,2
228,"Metal Fusion Bonding",0,1,0,0,0,0,0,0,0,0,0,1,2
239,"Fluid Sprinkling, Spraying, and Diffusing",0,0,1,0,0,0,0,0,0,0,1,0,2
273,"Amusement Devices:  Games",1,0,0,0,0,1,0,0,0,0,0,0,2
280,"Land Vehicles",1,1,0,0,0,0,0,0,0,0,0,0,2
294,"Handling:  Hand and Hoist-Line Implements",1,0,0,0,1,0,0,0,0,0,0,0,2
307,"Electrical Transmission or Interconnection Systems",0,0,0,0,0,0,0,0,0,0,2,0,2
313,"Electric Lamp and Discharge Devices",0,0,0,0,0,0,0,1,0,0,0,1,2
330,"Amplifiers",0,0,0,0,0,0,1,1,0,0,0,0,2
405,"Hydraulic and Earth Engineering",0,0,1,0,0,0,0,0,1,0,0,0,2
417,"Pumps",0,0,0,0,0,1,0,0,1,0,0,0,2
425,"Plastic Article or Earthenware Shaping or Treating: Apparatus",0,0,0,0,0,0,0,0,1,1,0,0,2
434,"Education and Demonstration",0,0,0,1,0,0,0,0,0,0,0,1,2
436,"Chemistry: Analytical and Immunological Testing",0,0,0,0,1,0,0,0,0,0,1,0,2
454,"Ventilation",0,0,0,0,0,1,1,0,0,0,0,0,2
510,"Cleaning Compositions for Solid Surfaces, Auxiliary Compositions Therefor, or Processes of Preparing the Compositions",0,0,0,1,0,0,0,1,0,0,0,0,2
606,"Surgery (instruments)",0,0,0,0,0,0,0,1,0,0,0,1,2
706,"DP: Artificial Intelligence (Data Processing)",0,0,0,0,0,0,0,0,1,0,1,0,2
719,"Interprogram Communication or Interprocess Communication (Ipc) (Electrical Computers and Digital Processing Systems)",0,0,0,0,0,0,0,0,1,1,0,0,2
005,"Beds",0,0,0,0,0,0,0,0,0,1,0,0,1
015,"Brushing, Scrubbing, and General Cleaning",0,0,0,0,0,0,0,0,0,0,0,1,1
016,"Miscellaneous Hardware",0,0,0,0,0,0,0,0,0,0,1,0,1
042,"Firearms",0,0,1,0,0,0,0,0,0,0,0,0,1
044,"Fuel and Related Compositions",1,0,0,0,0,0,0,0,0,0,0,0,1
047,"Plant Husbandry",1,0,0,0,0,0,0,0,0,0,0,0,1
052,"Static Structures (e.g., Buildings)",0,0,0,1,0,0,0,0,0,0,0,0,1
053,"Package Making",0,0,0,0,0,0,0,0,0,1,0,0,1
060,"Power Plants",0,0,1,0,0,0,0,0,0,0,0,0,1
062,"Refrigeration",0,0,0,0,0,0,0,0,0,0,1,0,1
074,"Machine Element or Mechanism",0,1,0,0,0,0,0,0,0,0,0,0,1
075,"Specialized Metallurgical Processes, Compositions for Use Therein, Consolidated Metal Powder Compositions, and Loose Metal Particulate Mixtures",0,0,0,0,0,0,0,0,1,0,0,0,1
101,"Printing",0,0,0,0,0,0,0,0,1,0,0,0,1
102,"Ammunition and Explosives",0,0,0,0,0,1,0,0,0,0,0,0,1
114,"Ships",0,0,1,0,0,0,0,0,0,0,0,0,1
122,"Liquid Heaters and Vaporizers",0,0,0,0,0,0,0,0,0,0,1,0,1
124,"Mechanical Guns and Projectors",0,0,0,0,0,0,0,1,0,0,0,0,1
134,"Cleaning and Liquid Contact with Solids",0,1,0,0,0,0,0,0,0,0,0,0,1
180,"Motor Vehicles",0,0,0,0,0,0,0,0,0,0,1,0,1
181,"Acoustics",0,0,0,0,0,0,0,0,0,0,1,0,1
192,"Clutches and Power-Stop Control",0,0,0,1,0,0,0,0,0,0,0,0,1
193,"Conveyors, Chutes, Skids, Guides, and Ways",1,0,0,0,0,0,0,0,0,0,0,0,1
208,"Mineral Oils: Processes and Products",0,0,0,0,0,0,0,0,1,0,0,0,1
215,"Bottles and Jars",0,0,0,1,0,0,0,0,0,0,0,0,1
218,"High-Voltage Switches with Arc Preventing or Extinguishing Devices",0,0,0,0,0,0,0,1,0,0,0,0,1
219,"Electric Heating",0,0,1,0,0,0,0,0,0,0,0,0,1
220,"Receptacles",0,0,0,0,0,0,0,0,0,1,0,0,1
221,"Article Dispensing",0,0,0,1,0,0,0,0,0,0,0,0,1
226,"Advancing Material of Indeterminate Length",1,0,0,0,0,0,0,0,0,0,0,0,1
242,"Winding, Tensioning, or Guiding",0,0,0,0,0,0,0,0,0,1,0,0,1
267,"Spring Devices",0,0,0,1,0,0,0,0,0,0,0,0,1
270,"Sheet-Material Associating",0,0,0,0,0,0,0,1,0,0,0,0,1
285,"Pipe Joints or Couplings",0,0,0,0,0,0,0,0,0,0,1,0,1
312,"Supports:  Cabinet Structure",0,0,0,0,0,0,1,0,0,0,0,0,1
329,"Demodulators",1,0,0,0,0,0,0,0,0,0,0,0,1
331,"Oscillators",0,0,0,0,0,0,0,0,1,0,0,0,1
335,"Electricity:  Magnetically Operated Switches, Magnets, and Electromagnets",0,0,0,0,0,0,1,0,0,0,0,0,1
338,"Electrical Resistors",0,1,0,0,0,0,0,0,0,0,0,0,1
340,"Communications:  Electrical",0,0,0,0,1,0,0,0,0,0,0,0,1
341,"Coded Data Generation or Conversion",0,0,0,0,0,0,0,0,1,0,0,0,1
351,"Optics:  Eye Examining, Vision Testing and Correcting",0,1,0,0,0,0,0,0,0,0,0,0,1
363,"Electric Power Conversion Systems",0,0,0,0,0,0,1,0,0,0,0,0,1
368,"Horology: Time Measuring Systems or Devices",0,0,0,0,0,0,0,0,1,0,0,0,1
398,"Optical Communications",0,0,0,0,0,0,0,0,0,1,0,0,1
414,"Material or Article Handling",0,0,0,0,1,0,0,0,0,0,0,0,1
419,"Powder Metallurgy Processes",0,0,0,0,0,0,0,0,0,0,1,0,1
