Index,GeoFips,2001,2002,2003,2004,2005,Average
1,10180,158917.0,159012.0,158810.0,160156.0,160761.0,159531.2
2,10420,698108.0,699533.0,701139.0,701811.0,702498.0,700617.8
3,10500,157735.0,156947.0,156914.0,156911.0,156886.0,157078.6
4,10540,103544.0,104561.0,106035.0,106799.0,108132.0,105814.2
5,10580,831034.0,836753.0,844619.0,850384.0,854604.0,843478.8
6,10740,741932.0,757716.0,772128.0,789237.0,809551.0,774112.8
7,10780,145102.0,145416.0,146017.0,146973.0,147930.0,146287.6
8,10900,748705.0,756628.0,766938.0,777277.0,787738.0,767457.2
9,11020,128471.0,127631.0,127353.0,127194.0,126730.0,127475.8
10,11100,230351.0,232326.0,235138.0,237566.0,240380.0,235152.2
11,11180,80260.0,81885.0,82068.0,82754.0,82884.0,81970.2
12,11260,326081.0,332582.0,337730.0,345245.0,350903.0,338508.2
13,11460,328749.0,332763.0,336154.0,339422.0,342234.0,335864.4
14,11500,111266.0,111625.0,112705.0,113462.0,114477.0,112707.0
15,11540,205676.0,208747.0,211350.0,213592.0,215925.0,211058.0
16,11700,374904.0,379818.0,385178.0,390713.0,396408.0,385404.2
17,12020,168973.0,170838.0,173847.0,178106.0,178974.0,174147.6
18,12060,4402455.0,4489288.0,4572541.0,4659574.0,4770870.0,4578945.6
19,12100,255737.0,259263.0,263285.0,267723.0,270332.0,263268.0
20,12220,116819.0,118392.0,120071.0,122274.0,126133.0,120737.8
21,12260,512626.0,516818.0,520120.0,526789.0,531294.0,521529.4
22,12420,1321316.0,1347822.0,1376030.0,1410058.0,1453358.0,1381716.8
23,12540,676574.0,694059.0,714272.0,736296.0,760726.0,716385.4
24,12580,2575471.0,2596501.0,2614232.0,2630946.0,2644231.0,2612276.2
25,12620,146110.0,147298.0,148759.0,148814.0,149726.0,148141.4
26,12700,224087.0,225421.0,226011.0,224264.0,221995.0,224355.6
27,12940,710731.0,715379.0,722274.0,729774.0,735507.0,722733.0
28,12980,138158.0,138580.0,138962.0,139443.0,138946.0,138817.8
29,13020,109836.0,109861.0,109559.0,109453.0,109165.0,109574.8
30,13140,397731.0,397949.0,398146.0,398998.0,400115.0,398587.8
31,13220,125318.0,125672.0,125519.0,125145.0,124570.0,125244.8
32,13380,171172.0,174904.0,177851.0,181756.0,185450.0,178226.6
33,13460,120526.0,125247.0,129094.0,133756.0,140567.0,129838.0
34,13740,141458.0,142891.0,144443.0,146238.0,148558.0,144717.6
35,13780,252580.0,253430.0,252932.0,252605.0,252088.0,252727.0
36,13820,1059082.0,1062966.0,1070886.0,1078204.0,1086318.0,1071491.2
37,13900,101289.0,102340.0,103201.0,104211.0,105942.0,103396.6
38,13980,167434.0,167498.0,168270.0,169018.0,170990.0,168642.0
39,14010,169505.0,172555.0,174481.0,175767.0,177015.0,173864.6
40,14020,143650.0,144707.0,146835.0,148549.0,150096.0,146767.4
41,14100,82592.0,82838.0,83240.0,83511.0,83718.0,83179.8
42,14260,486078.0,499994.0,512491.0,525975.0,546980.0,514303.6
43,14460,4432132.0,4440034.0,4434723.0,4424956.0,4418046.0,4429978.2
44,14500,300137.0,279468.0,278768.0,279728.0,280241.0,283668.4
45,14540,136901.0,138510.0,140921.0,143044.0,145918.0,141058.8
46,14740,234513.0,238129.0,239758.0,241960.0,239806.0,238833.2
47,14860,889063.0,892900.0,896342.0,897472.0,897653.0,894686.0
